ResguardoId;ResguardoCodigo;ResguardoNombre;Activo;FechaRegistro;FechaModifica
87;086;"CAÑO JABON ";1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
88;087;CAÑO MESETAS-DAGUA;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
89;088;CAÑO MOCHUELO-HATO COROZAL;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
90;089;CAÑO NEGRO;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
91;090;"CAÑO OVEJAS ";1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
92;091;CAÑO PADILLA;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
93;092;CAÑO ZAMA;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
94;093;CANOAS;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
95;094;CAÑON RIO SAN QUININI;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
96;095;CAQUIONA;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
97;096;CARANACOA YURI LAGUNA MOROCOTO;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
98;097;CARLOSAMA;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
99;098;CARPINTERO-PALOMAS;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
100;099;CARRIZAL;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
101;100;CASTILLA - ANGOSTURAS;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
102;101;CECILIA COCHA;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
103;102;CERRO DE HATONUEVO;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
104;103;CERRODEO;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
105;104;CHACHAJO;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
106;105;CHAGPIEN-TORDO;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
107;106;CHAGÜI, CHIMBUZA, VEGAS, SAN ANTONIO, OTROS;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
108;107;CHALUAYACO;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
109;108;"CHAPARRAL Y BARRO NEGRO ";1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
110;109;CHAQUENODA;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
111;110;CHAQUIRA;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
112;111;CHARCO CAIMAN;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
113;112;CHENCHE BUENOS AIRES INDEPENDIENTE;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
114;113;CHENCHE BUENOS AIRES TRADICIONAL;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
115;114;CHENCHE MEDIA LUNA;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
116;115;CHENCHE-SOCORRO-LOS GUAYABOS;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
117;116;CHIDIMA TOLO;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
118;117;CHIGÜIRO;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
119;118;CHILES;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
120;119;CHIMBORAZO;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
121;120;CHIMILA DE SAN ANGEL;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
122;121;CHIMURRO-NENDO;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
123;122;CHINAS;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
124;123;CHIQUE-RIO TANGUI;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
125;124;CHOCON;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
126;125;CHOLOLOBO-MATATU;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
127;126;CHONTADURAL-CAÑERO;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
128;127;CHOROMANDO ALTO Y MEDIO;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
129;128;CHUSCAL-TUGURIDOCITO;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
130;129;CIBARIZA;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
131;130;COAYARE EL COCO;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
132;131;COCONUCO;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
133;132;COHETANDO;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
134;133;COLIMBA;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
135;134;COMEYAFU;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
136;135;CONCORDIA;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
137;136;CONSARA-MECAYA;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
138;137;"COPEG DEL RIO INGARA ";1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
139;138;CORDOBA (MALES);1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
140;139;CORINTO;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
141;140;COROCORO;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
142;141;COROPOYA;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
143;142;COROZAL TAPAOJO;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
144;143;COTHUE-PUTUMAYO;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
145;144;CRISTIANIA;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
146;145;CRISTIANIA (Reestructurado);1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
147;146;CUAIQUER INTEGRADO LA MILAGROSA;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
148;147;CUASBIL-LA FALDADA;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
149;148;CUASCUABI-PALDUBI;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
150;149;CUATRO DE NOVIEMBRE;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
151;150;CUCHILLA-PALMAR;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
152;151;CUENCA MEDIA Y ALTA RIO INIRIDA;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
153;152;CUERAZO;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
154;153;CUILOTO II;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
155;154;CUMARAL BRAZO AMANAVEN;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
156;155;CUMARAL,GUAMUCO;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
157;156;CUMBAL;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
158;157;CUNA-TSEPAJIBO-WARRACAÑA;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
159;158;CURARE-LOS INGLESES;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
160;159;CUSAY-LA COLORADA;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
161;160;CUSUMBE-AGUA BLANCA;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
162;161;CUTI;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
163;162;DACHI DRUA CHAMI;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
164;163;DACHI DRUA MUNDI;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
165;164;DEARADE - BIAKIRUDE;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
166;165;DIAMANTE;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
167;166;DOCORDO-BALSALITO;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
168;167;DOKERAZAVI;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
